"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.Ent","log2fold_change","Auc"
"90","Apeh","hurdle",3.13110722273089e-37,-1.5887842,-0.8139961,0.7747881,0.582
"607","Sccpdh","hurdle",8.3357833466772e-64,-2.501907,-1.341437,1.16047,0.581
"519","Pccb","hurdle",1.07133898879037e-49,-1,-0.0594668,0.9405332,0.581
"74","Aldh3b1","hurdle",2.70265866070169e-84,-2.827984,-1.519941,1.308043,0.581
"499","Nudt4","hurdle",2.32250444278181e-27,-0.56167898,0.02405167,0.58573065,0.58
"369","Hsd17b2","hurdle",8.37826103289287e-59,-2.39165,-1.273373,1.118277,0.58
"284","Fam214b","hurdle",6.3325586118402e-83,-2.867362,-1.559928,1.307434,0.58
"250","Egln3","hurdle",2.6275285686947e-119,-3.125947,-1.699128,1.426819,0.58
"20","Abcb1a","hurdle",1.75875837691555e-50,-2.266397,-1.255354,1.011043,0.58
"324","Gmppb","hurdle",4.59378218272638e-31,-1.417584,-0.708086,0.709498,0.579
"798","Wsb2","hurdle",2.74919185558362e-30,-1.4533695,-0.7643101,0.6890594,0.578
"740","Tmc5","hurdle",5.39785805746851e-46,-2.100627,-1.162879,0.937748,0.578
"707","Spns3","hurdle",1.301931060647e-99,-3.007654,-1.541614,1.46604,0.578
"624","Sgk1","hurdle",3.16458775070592e-92,-2.912627,-1.44655,1.466077,0.578
"620","Sema6a","hurdle",9.74543917367584e-84,-2.921275,-1.663048,1.258227,0.578
"329","Gosr2","hurdle",3.03860016502299e-38,-1.867826,-1.047272,0.820554,0.578
"263","Entpd8","hurdle",1.38534250700771e-31,-1.5324951,-0.8074174,0.7250777,0.578
"179","Cmbl","hurdle",1.8186480817945e-23,-0.380676,0.1667544,0.5474304,0.578
"747","Tmem19","hurdle",1.54430316167496e-40,-1.923203,-1.049858,0.873345,0.577
"547","Plekhf1","hurdle",9.09621776518402e-88,-2.960348,-1.659095,1.301253,0.577
"525","Pde9a","hurdle",8.98787298112149e-42,-2.106093,-1.222893,0.8832,0.577
"76","Aldh9a1","hurdle",4.05319912547119e-28,-0.2343156,0.2925266,0.5268422,0.577
"361","Heph","hurdle",6.85145655837417e-46,-2.120958,-1.165681,0.955277,0.576
"288","Fam73b","hurdle",3.91686602054151e-48,-2.332783,-1.363785,0.968998,0.576
"190","Creb3l2","hurdle",1.15934511597964e-70,-2.781757,-1.593489,1.188268,0.576
"131","Btnl1","hurdle",9.10060989352052e-66,-2.755747,-1.639487,1.11626,0.576
"802","Xpnpep2","hurdle",8.03955961178025e-87,-2.947533,-1.597266,1.350267,0.575
"661","Slc35e1","hurdle",4.05593463378525e-34,-1.882762,-1.105262,0.7775,0.575
"462","Mpi","hurdle",3.83698344216601e-31,-1.6955817,-0.9522911,0.7432906,0.575
"378","Ift172","hurdle",4.22618385665058e-36,-1.936777,-1.118773,0.818004,0.575
"488","Naip5","hurdle",5.77861631349421e-53,-2.388982,-1.344608,1.044374,0.574
"759","Tprn","hurdle",1.13554368777944e-27,-1.6154336,-0.9522911,0.6631425,0.573
