"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.PreEnt","log2fold_change","Auc"
"664","Slc6a8","hurdle",3.59701819946037e-82,-1.2605558,-0.1899709,1.0705849,0.654
"406","Lrrc59","hurdle",1.01565578812388e-52,0.1666288,0.91908,0.7524512,0.654
"90","Ap2a2","hurdle",3.20928458979514e-71,-1.153206798,-0.005631868,1.14757493,0.654
"38","Ace2","hurdle",6.70052246690007e-144,-1.2351314,-0.3056263,0.9295051,0.654
"544","Plpp2","hurdle",5.78640994967016e-52,0.4266562,1.1417555,0.7150993,0.653
"462","Myo5b","hurdle",3.72565482863664e-65,-1.17277037,-0.08886875,1.08390162,0.653
"436","Mkrn2os","hurdle",3.04964276931638e-67,-1.00903585,0.07839691,1.08743276,0.653
"689","Srxn1","hurdle",2.66932049412158e-85,-1.926403,-0.511899,1.414504,0.649
"179","Clic5","hurdle",1.66211213340475e-107,-2.2448974,-0.6758253,1.5690721,0.649
"164","Chchd7","hurdle",2.54825488777139e-51,0.5214331,1.2113764,0.6899433,0.649
"735","Trim31","hurdle",8.59623918818727e-73,-1.5840768,-0.3574935,1.2265833,0.648
"284","Fcgrt","hurdle",2.57970676756572e-76,-1.7221929,-0.4187896,1.3034033,0.648
"9","2010107E04Rik","hurdle",4.90706728671496e-44,1.883515,2.421813,0.538298,0.648
"346","Hadh","hurdle",7.23465341507914e-44,1.296925,1.830719,0.533794,0.646
"317","Gnb1","hurdle",8.32501984120394e-45,0.8299181,1.4273972,0.5974791,0.646
"282","Fbp2","hurdle",2.12350967010649e-45,1.007573,1.5943,0.586727,0.646
"543","Plpp1","hurdle",2.33605980431623e-79,-1.7768062,-0.4440564,1.3327498,0.645
"402","Lpgat1","hurdle",1.16169351601298e-56,-1.02647677,-0.01317539,1.01330138,0.645
"779","Zzef1","hurdle",2.1343567894897e-68,-1.486717,-0.2735651,1.2131519,0.644
"772","Xpnpep1","hurdle",6.81003615056008e-58,-0.97139224,0.01491171,0.98630395,0.644
"203","Cth","hurdle",2.98901871215668e-60,-0.8451056,0.1306742,0.9757798,0.644
"167","Chp2","hurdle",1.03775682368192e-116,-2.6062348,-0.8744691,1.7317657,0.643
"145","Cdhr2","hurdle",1.14520956845755e-66,-0.4446427,0.1203692,0.5650119,0.643
"80","Amn","hurdle",1.31192982500501e-53,-0.9608149,-0.0226606,0.9381543,0.643
"744","Tubal3","hurdle",8.23087621538686e-104,-2.4380925,-0.7975517,1.6405408,0.642
"486","Nfe2l2","hurdle",6.95184383911837e-54,-0.428654,0.4183126,0.8469666,0.642
"739","Tspan15","hurdle",2.51107130080583e-51,-0.2866464,0.5000736,0.78672,0.641
"614","Sgpl1","hurdle",1.08071198313386e-57,-1.2473493,-0.2115041,1.0358452,0.641
"545","Pls1","hurdle",2.82128428413843e-45,-0.3217435,0.3756262,0.6973697,0.641
"470","Naprt","hurdle",7.33412863007158e-49,-0.6471208,0.2138017,0.8609225,0.641
"216","Cyp3a13","hurdle",2.62955758101842e-89,-1.5573926,-0.4038393,1.1535533,0.641
"631","Slc26a3","hurdle",8.34646156505536e-94,-2.2519138,-0.6999714,1.5519424,0.64
"400","Lmna","hurdle",7.64050985111069e-59,-1.1672326,-0.0671142,1.1001184,0.64
"605","Sec23a","hurdle",6.41090034914181e-69,-1.7315613,-0.4671811,1.2643802,0.639
"61","Ak2","hurdle",1.09354936274e-41,1.104211,1.626212,0.522001,0.639
"54","Adipor2","hurdle",1.25314767009046e-48,-0.6333121,0.2378339,0.871146,0.639
"763","Vat1","hurdle",1.26366204314168e-74,-1.9091997,-0.5608086,1.3483911,0.638
"666","Slc7a8","hurdle",1.46971378262832e-64,-1.6443485,-0.4620102,1.1823383,0.638
"303","Gde1","hurdle",2.15053357163328e-89,-1.4624373,-0.3743955,1.0880418,0.638
"262","Erich4","hurdle",9.98262691757067e-94,-2.263093,-0.771731,1.491362,0.638
"96","Aqp11","hurdle",6.46421513976374e-53,-1.0008863,-0.0553849,0.9455014,0.638
"456","Myl12b","hurdle",1.02750380704537e-40,1.366297,1.902637,0.53634,0.637
